Age,Income,EducationYears,EmploymentStatus,Purchase
32,72961,17,0,1
46,61776,13,1,1
34,70636,15,1,1
37,60700,17,0,1
38,88002,13,1,1
43,49344,12,1,1
26,42195,14,1,1
49,73514,14,1,1
56,69975,17,0,1
38,88745,15,0,0
47,47314,12,1,1
54,52676,16,0,1
59,57155,17,1,1
53,69572,13,0,0
22,50349,14,1,1
27,99645,16,0,1
45,83239,12,1,1
20,58767,16,0,0
50,56262,17,1,1
48,41626,14,0,0
38,91713,14,0,1
48,99124,16,0,1
35,68742,13,1,0
45,85856,15,0,1
47,48365,14,1,1
49,42645,15,0,1
47,67333,15,0,1
59,91213,12,1,1
27,57383,13,0,1
56,47294,12,1,1
38,96474,12,1,0
53,87130,17,1,1
25,55126,12,0,0
49,46733,16,1,0
35,51316,14,1,0
50,63912,16,0,0
34,46004,15,1,0
27,86870,16,0,0
37,41680,16,0,1
26,97368,14,1,0
50,84780,13,0,1
20,83532,15,1,1
46,87019,12,1,1
31,53156,15,0,0
28,79128,14,0,1
48,49383,14,0,1
37,69693,14,1,1
57,90724,15,1,1
56,58810,17,1,0
58,97194,13,0,1
56,75053,12,0,1
23,75397,12,0,1
20,46340,14,0,0
25,75176,12,1,1
41,42679,16,0,0
32,54610,12,0,0
39,82531,15,1,1
26,68673,15,1,1
20,66874,13,0,1
44,81634,13,1,1
32,85764,15,1,0
46,86316,16,1,0
30,87320,13,0,1
54,76419,15,0,1
42,93977,17,0,1
34,98108,16,1,1
52,82475,17,0,0
47,63241,13,1,1
44,88661,16,1,1
51,72145,17,0,0
32,70223,14,0,0
23,44591,15,1,1
46,81750,13,1,1
43,67797,12,0,0
20,97920,17,1,0
30,55213,17,1,1
49,97065,14,0,1
53,72856,12,1,1
59,69843,16,1,1
47,54051,14,1,1
41,42916,17,0,1
50,89537,14,1,1
35,76398,15,1,0
28,50038,14,1,0
59,62651,15,0,0
43,94173,17,0,0
55,68345,12,1,1
44,42326,17,0,1
46,40596,12,1,0
48,94577,12,0,1
34,90738,17,1,0
34,41033,13,1,0
40,84003,17,1,1
58,56162,12,1,0
23,72850,13,1,1
35,52393,14,0,1
43,56292,13,1,1
56,41780,13,0,0
44,91881,17,1,1
37,57483,12,1,1
50,98293,14,0,0
37,63127,12,0,1
37,62479,17,0,1
58,81422,16,0,1
36,45263,14,1,1
30,94513,13,0,0
25,55190,17,1,1
22,67141,12,0,1
34,74593,14,1,1
57,61157,14,1,1
20,60298,16,1,0
49,88854,17,1,1
40,82140,14,1,1
25,87642,12,1,1
23,57940,17,0,1
30,69541,17,1,1
34,71623,13,1,1
25,68923,17,0,1
42,44470,15,1,1
23,45856,15,1,1
32,93634,16,1,1
20,81461,12,0,0
52,73325,13,1,1
58,43181,13,1,1
24,88718,17,0,1
44,68040,13,1,0
50,96105,15,0,1
24,46030,17,0,0
30,75972,13,1,1
48,41186,15,0,1
49,88327,16,1,1
36,63697,12,0,0
40,62662,14,0,1
36,86202,14,1,1
31,73940,17,0,1
40,87815,17,0,0
29,53584,12,0,0
41,75837,16,1,1
38,61844,17,0,0
34,54666,13,1,1
47,70493,13,1,1
29,87322,13,1,1
55,49689,17,1,1
39,98921,14,0,0
30,64540,16,0,0
20,45453,16,1,0
42,80916,12,0,1
58,67481,15,1,1
28,89686,13,0,0
31,84816,16,1,1
49,83769,15,0,0
48,64325,15,0,0
20,65058,12,1,0
21,51885,12,1,1
37,98973,13,1,1
32,91738,16,1,1
51,99378,13,0,1
55,93284,16,0,1
30,78501,15,0,0
39,92135,15,0,1
39,49228,15,0,1
58,73318,14,1,1
29,51107,13,1,0
33,79364,16,0,0
34,99823,14,1,1
25,66974,13,0,0
39,92339,12,0,0
53,47571,16,0,0
56,94071,12,1,1
55,54542,15,0,0
50,69174,17,0,0
20,52613,12,1,1
49,64827,13,0,1
53,87954,12,0,0
31,51454,16,1,0
25,86733,15,1,1
29,80122,13,1,1
47,47198,12,0,1
35,41937,15,1,1
55,85692,14,1,1
30,68909,13,0,0
27,58552,17,0,1
34,89053,15,0,1
36,62344,12,1,1
55,85985,17,1,0
30,42110,16,0,1
26,73344,14,1,1
47,87426,17,1,1
42,98789,14,1,0
51,59683,12,1,0
32,62982,12,1,1
54,74548,15,0,1
44,75040,14,0,1
34,59332,17,1,1
36,92082,15,1,1
40,84356,14,0,1
45,88659,13,1,1
36,87589,17,1,1
58,84255,14,0,0
20,90033,15,0,1
41,47127,12,1,1
48,96307,13,1,1
25,83446,13,0,1
52,45963,13,0,0
32,62577,14,0,1
48,45570,14,0,0
30,55384,14,1,1
30,92801,14,1,0
46,86534,13,1,1
24,90829,12,0,0
25,89633,15,1,0
40,56061,13,1,1
24,94822,16,1,0
38,40383,13,0,0
48,90886,16,0,0
48,70695,17,0,1
21,76969,16,0,0
22,70833,17,1,1
49,52535,13,0,0
20,90150,12,0,0
27,76270,13,1,1
25,43067,16,1,0
47,46724,14,0,1
22,99481,15,1,1
20,66974,17,1,1
24,76896,13,1,1
31,85497,14,0,1
51,78913,16,0,1
48,91954,15,1,1
40,97819,14,0,1
25,42364,16,0,0
56,52189,12,0,0
23,74574,17,1,1
43,82685,16,0,1
49,98505,14,1,1
49,75657,14,1,1
54,86192,16,1,1
43,61965,13,0,1
58,83525,13,0,1
52,64144,15,1,1
27,89547,16,0,1
36,48970,13,0,1
45,99290,12,1,1
34,90565,12,0,0
24,78464,17,0,0
24,75345,15,0,0
47,47140,13,1,1
24,44771,14,0,0
26,74273,17,0,1
44,61322,17,1,1
51,42168,15,0,0
44,54848,14,0,1
40,92056,16,1,1
58,74254,12,0,1
24,78709,14,1,1
58,59571,12,1,1
49,83430,16,0,1
56,88166,12,1,1
23,86336,17,0,1
22,55429,16,0,0
21,40502,17,1,0
34,77395,14,0,0
58,70385,15,1,1
49,86725,14,0,1
57,89610,16,0,1
57,75223,14,1,1
44,53154,13,1,1
43,62073,14,1,0
44,56137,16,1,1
24,47665,12,0,0
34,40367,17,0,1
20,58007,16,1,0
47,46288,16,1,1
22,47905,17,1,1
47,88788,16,0,1
35,60151,13,0,0
43,67754,17,0,1
39,72974,17,1,0
23,76285,12,1,0
44,43875,14,1,1
38,63007,16,1,1
58,86666,17,0,1
31,44019,14,0,1
20,71317,16,1,0
52,78965,14,1,0
50,97264,12,0,0
25,95569,16,0,0
20,86221,14,1,0
47,59128,14,0,1
50,64529,13,1,1
32,67074,14,1,1
58,88107,16,1,1
51,62172,12,0,1
57,90767,17,1,1
59,78234,13,0,1
50,56900,16,1,1
20,80021,15,0,1
20,40493,13,1,0
57,52261,17,0,1
46,74038,15,0,1
56,75273,15,0,1
20,94061,14,1,1
56,41265,15,0,1
43,41267,14,1,0
55,59732,12,0,1
46,55409,17,1,1
38,49865,15,1,1
41,93415,17,1,1
25,75243,15,1,1
55,83611,14,1,1
40,83911,15,0,0
41,74906,16,1,1
40,66829,12,0,1
34,58393,14,1,0
25,40094,13,1,0
38,46636,13,0,0
54,46213,15,1,1
44,46431,17,0,1
30,58290,13,1,1
34,61110,13,1,1
30,71962,12,1,0
35,60277,12,1,1
43,59408,15,1,1
21,89273,12,0,1
51,95834,17,1,1
20,52730,13,0,0
23,73740,13,0,0
21,89944,15,0,1
44,93772,16,1,1
51,92513,17,1,1
47,90069,12,0,1
58,65775,16,1,0
39,71732,14,1,1
46,80317,14,1,0
32,74853,12,1,1
41,47265,16,0,1
43,48075,13,1,1
53,98027,15,0,1
48,58475,14,0,1
42,84798,13,1,1
31,41372,17,1,1
23,60292,12,1,1
22,72810,12,0,0
47,92808,17,1,1
58,43269,13,1,1
55,60752,12,0,0
43,94219,13,0,1
22,73261,16,1,1
21,98260,16,0,1
20,68920,12,1,1
56,54289,14,0,1
45,86379,12,1,1
49,56386,13,1,1
53,60872,17,1,0
46,75509,14,0,0
30,58659,12,1,0
42,55542,17,0,0
23,90437,16,0,1
56,98167,12,1,1
46,62212,15,1,1
37,43652,13,0,0
59,77289,16,1,1
33,61626,17,1,0
29,46514,13,1,1
25,60240,17,1,1
47,91186,15,0,1
50,51132,16,0,0
45,95122,12,1,1
55,62299,14,0,1
54,79925,12,0,0
27,69414,16,1,1
49,88954,15,0,1
48,84437,16,0,1
21,53737,13,0,0
20,51580,12,0,0
28,63339,17,0,1
29,71248,12,0,1
56,83907,14,0,1
48,68787,14,1,1
49,61815,12,1,0
52,46861,16,1,1
20,98293,17,0,0
29,41284,16,1,1
20,48045,17,1,1
52,66712,14,1,0
47,65271,13,0,0
57,98327,14,0,1
57,42454,14,1,1
43,64429,14,1,1
40,82422,13,1,1
28,79090,16,1,1
34,44376,14,1,1
20,58947,12,0,1
36,87170,15,1,1
36,72800,14,0,1
35,58259,15,0,1
31,93695,12,1,0
31,69015,17,0,0
23,47316,15,0,1
54,56882,13,1,1
23,84685,12,1,1
32,58643,17,0,1
40,49748,16,0,0
54,42745,12,1,1
35,72034,13,1,1
37,98343,17,1,1
32,56387,13,0,1
43,85884,14,0,1
33,58745,16,0,0
55,58523,17,1,1
35,61417,13,0,1
53,40473,13,1,1
29,61523,12,1,1
27,76655,17,1,1
53,96938,13,1,1
52,80894,13,1,1
35,44816,16,0,0
23,53611,14,0,0
47,47481,12,1,1
57,62795,17,1,0
45,57069,16,1,1
47,70612,13,1,1
45,46045,15,0,1
22,46706,16,1,0
31,95435,12,0,0
32,74380,16,0,0
30,73531,14,0,0
35,73298,12,1,1
20,96262,15,1,0
31,99503,12,1,0
31,89224,12,0,0
35,44044,17,1,1
59,47186,12,1,1
38,72756,17,1,1
51,70602,14,1,1
20,80294,16,1,1
55,40219,17,1,1
30,52636,14,0,0
37,58703,16,0,1
50,68008,17,1,0
55,51171,14,0,0
46,77844,15,1,1
59,67628,14,1,1
46,54995,16,1,0
32,40623,13,1,1
57,54102,14,1,1
39,70527,14,0,0
26,75197,17,0,1
46,95436,14,1,1
23,82435,13,0,0
46,94273,17,0,0
22,68119,12,1,0
24,79876,12,1,1
30,48064,16,0,0
55,70281,16,1,1
51,75541,16,0,1
28,61906,17,0,1
58,53340,14,1,1
39,43484,13,1,0
36,56528,16,1,1
39,73369,14,0,1
55,57542,15,1,0
35,59115,14,1,1
20,85774,14,1,1
26,98276,17,0,1
34,59148,16,0,0
58,72877,14,0,1
38,68040,14,0,1
50,80621,14,1,1
45,42092,13,0,0
47,76900,13,0,1
58,70619,14,1,0
43,92420,12,0,0
40,76536,17,1,1
31,56285,13,0,1
47,48478,16,0,1
41,44389,16,1,1
21,85157,17,1,1
29,83073,16,1,1
42,58982,13,0,0
32,44494,15,1,0
53,64614,13,1,0
25,51242,14,1,1
48,85733,14,0,0
49,80669,12,0,1
22,61726,17,1,1
50,55655,16,1,1
54,80443,12,1,1
32,57419,13,0,1
41,69951,15,0,1
32,49249,12,0,1
36,66555,14,1,1
43,75189,13,0,1
30,54140,17,0,0
36,83183,15,1,1
41,93880,16,1,1
45,65895,13,0,1
39,99503,17,0,1
54,82479,12,0,0
43,85545,14,0,1
36,97367,12,0,1
52,90176,13,1,1
21,41392,13,1,0
46,97461,17,1,1
33,55482,15,0,1
